transaction_id,user_id,product_id,date,quantity,total_amount,cost_amount
1,55,26,2025-12-26 14:23:21.686312,1,432.04,259.224
2,519,30,2025-12-20 14:23:21.686312,2,353.9,212.33999999999997
3,776,33,2025-10-24 14:23:21.686312,1,128.28,76.968
4,681,40,2025-10-15 14:23:21.686312,2,162.5,97.5
5,720,37,2025-07-14 14:23:21.686312,3,1210.29,726.174
6,989,48,2025-08-17 14:23:21.686312,5,1120.45,672.27
7,159,18,2025-07-28 14:23:21.686312,1,495.47,297.282
8,691,43,2025-07-25 14:23:21.686312,3,53.16,31.896
9,476,12,2025-04-02 14:23:21.686312,4,1958.16,1174.896
10,942,8,2025-07-14 14:23:21.686312,5,1165.5,699.3
11,358,1,2025-02-12 14:23:21.686312,2,46.86,28.116
12,967,9,2025-07-16 14:23:21.686312,2,621.5,372.9
13,917,17,2025-05-02 14:23:21.686312,5,1666.9499999999998,1000.17
14,601,6,2025-03-19 14:23:21.686312,4,1033.76,620.256
15,642,32,2025-07-22 14:23:21.686312,1,311.94,187.164
16,544,21,2025-10-26 14:23:21.686312,2,674.44,404.66400000000004
17,55,8,2025-09-02 14:23:21.686312,2,466.2,279.71999999999997
18,819,2,2026-01-03 14:23:21.686312,4,1438.84,863.304
19,812,44,2025-12-10 14:23:21.686312,4,1437.64,862.5840000000001
20,167,21,2025-10-03 14:23:21.686312,4,1348.88,809.3280000000001
21,384,37,2025-09-20 14:23:21.686312,2,806.86,484.116
22,580,33,2025-09-01 14:23:21.686312,5,641.4,384.84000000000003
23,888,23,2025-04-16 14:23:21.686312,1,57.05,34.23
24,348,40,2025-01-23 14:23:21.686312,5,406.25,243.75
25,984,47,2025-12-25 14:23:21.686312,1,258.32,154.992
26,38,31,2025-09-16 14:23:21.686312,4,1549.12,929.4719999999999
27,863,4,2025-07-20 14:23:21.686312,4,86.68,52.008
28,447,6,2025-03-15 14:23:21.686312,2,516.88,310.128
29,913,20,2025-10-27 14:23:21.686312,3,279.63,167.778
30,791,17,2025-05-18 14:23:21.686312,4,1333.56,800.136
31,119,14,2025-04-05 14:23:21.686312,4,1279.44,767.664
32,411,20,2025-03-24 14:23:21.686312,3,279.63,167.778
33,410,44,2025-12-03 14:23:21.686312,4,1437.64,862.5840000000001
34,207,45,2025-09-25 14:23:21.686312,1,61.32,36.792
35,428,27,2025-12-16 14:23:21.686312,5,1397.45,838.4699999999999
36,243,40,2025-03-21 14:23:21.686312,3,243.75,146.25
37,422,25,2025-05-04 14:23:21.686312,3,570.03,342.018
38,605,47,2025-03-08 14:23:21.686312,4,1033.28,619.968
39,899,50,2025-01-28 14:23:21.686312,2,591.56,354.936
40,395,50,2025-10-24 14:23:21.686312,5,1478.8999999999999,887.3399999999999
41,604,18,2025-06-11 14:23:21.686312,4,1981.88,1189.128
42,696,27,2025-05-27 14:23:21.686312,4,1117.96,670.776
